swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
87,0.006200,2.8972960973e-8,0.1514637251,0.539400,18952098000000000,214036000000000,214036000000000
88,0.006200,2.8984726142e-8,0.1515260136,0.545600,19166047000000000,213949000000000,213949000000000
89,0.006200,2.8996493699e-8,0.1515883021,0.551800,19379910000000000,213863000000000,213863000000000
90,0.006200,2.9008263643e-8,0.1516505906,0.558000,19593685000000000,213775000000000,213775000000000
91,0.006200,2.9020035977e-8,0.1517128791,0.564200,19807374000000000,213689000000000,213689000000000
92,0.006200,2.9031810698e-8,0.1517751676,0.570400,20020976000000000,213602000000000,213602000000000
93,0.006200,2.9043587808e-8,0.1518374562,0.576600,20234492000000000,213516000000000,213516000000000
94,0.006200,2.9055367306e-8,0.1518997447,0.582800,20447921000000000,213429000000000,213429000000000
95,0.006200,2.9067149193e-8,0.1519620332,0.589000,20661263000000000,213342000000000,213342000000000
96,0.006200,2.9078933467e-8,0.1520243217,0.595200,20874519000000000,213256000000000,213256000000000
97,0.006200,2.9090720130e-8,0.1520866102,0.601400,21087689000000000,213170000000000,213170000000000
98,0.006200,2.9102509181e-8,0.1521488987,0.607600,21300772000000000,213083000000000,213083000000000
99,0.006200,2.9114300621e-8,0.1522111872,0.613800,21513769000000000,212997000000000,212997000000000
100,0.006200,2.9126094449e-8,0.1522734757,0.620000,21726679000000000,212910000000000,212910000000000
101,0.006200,2.9137890665e-8,0.1523357642,0.626200,21939504000000000,212825000000000,212825000000000
102,0.006200,2.9149689269e-8,0.1523980527,0.632400,22152242000000000,212738000000000,212738000000000
103,0.006200,2.9161490262e-8,0.1524603412,0.638600,22364894000000000,212652000000000,212652000000000
104,0.006200,2.9173293643e-8,0.1525226298,0.644800,22577461000000000,212567000000000,212567000000000
105,0.006200,2.9185099412e-8,0.1525849183,0.651000,22789941000000000,212480000000000,212480000000000
106,0.006200,2.9196907569e-8,0.1526472068,0.657200,23002335000000000,212394000000000,212394000000000
107,0.006200,2.9208718115e-8,0.1527094953,0.663400,23214643000000000,212308000000000,212308000000000
108,0.006200,2.9220531049e-8,0.1527717838,0.669600,23426866000000000,212223000000000,212223000000000
109,0.006200,2.9232346371e-8,0.1528340723,0.675800,23639002000000000,212136000000000,212136000000000
110,0.006200,2.9244164082e-8,0.1528963608,0.682000,23851053000000000,212051000000000,212051000000000
111,0.006200,2.9255984181e-8,0.1529586493,0.688200,24063019000000000,211966000000000,211966000000000
112,0.006200,2.9267806668e-8,0.1530209378,0.694400,24274898000000000,211879000000000,211879000000000
113,0.006200,2.9279631543e-8,0.1530832263,0.700600,24486692000000000,211794000000000,211794000000000
114,0.006200,2.9291458807e-8,0.1531455149,0.706800,24698401000000000,211709000000000,211709000000000
115,0.006200,2.9303288459e-8,0.1532078034,0.713000,24910024000000000,211623000000000,211623000000000
116,0.006200,2.9315120499e-8,0.1532700919,0.719200,25121562000000000,211538000000000,211538000000000
117,0.006200,2.9326954928e-8,0.1533323804,0.725400,25333014000000000,211452000000000,211452000000000
118,0.006200,2.9338791745e-8,0.1533946689,0.731600,25544381000000000,211367000000000,211367000000000
119,0.006200,2.9350630950e-8,0.1534569574,0.737800,25755663000000000,211282000000000,211282000000000
120,0.006200,2.9362472543e-8,0.1535192459,0.744000,25966859000000000,211196000000000,211196000000000
121,0.006200,2.9374316525e-8,0.1535815344,0.750200,26177970000000000,211111000000000,211111000000000
122,0.006200,2.9386162895e-8,0.1536438229,0.756400,26388997000000000,211027000000000,211027000000000
123,0.006200,2.9398011653e-8,0.1537061114,0.762600,26599938000000000,210941000000000,210941000000000
124,0.006200,2.9409862799e-8,0.1537684000,0.768800,26810794000000000,210856000000000,210856000000000
